Version,id,Level,M3 start,M3 finish,Crystall free,Get gold,Get food,Get stuff,Buy gold,Buy food,Buy stuff,Get bonus,Buy bonus,Quest complete,Buy energy,Buy charge,Buy amulet,Collection complete
v2,898599,7,91,73,17,28981,7008,6205,869,210,124,11,28,13,6,7,4,4
v2,929760,3,30,28,8,6300,1316,0,189,79,0,0,5,4,0,0,2,0
v2,888434,9,149,124,20,47988,19096,15252,576,573,305,15,48,12,11,10,5,5
v2,955779,10,189,144,29,63360,29376,25488,127,294,102,14,48,22,11,12,4,7
v2,916916,4,38,32,11,5344,1856,2976,160,74,0,4,8,7,3,2,2,2
v2,892051,4,45,39,13,7878,1638,2145,236,66,0,7,6,8,0,2,0,2
v1,527804,6,56,46,12,13064,2806,2760,392,140,55,22,5,6,2,6,5,3
v1,597354,1,4,4,5,1051,0,0,0,0,0,0,0,2,0,0,0,0
v2,976725,1,4,4,5,1075,0,0,0,0,0,0,0,2,0,0,0,0
v2,904145,3,28,27,9,5022,1215,0,301,85,0,0,5,4,2,0,1,0
v2,881684,3,26,24,7,3720,792,0,223,63,0,0,5,4,2,0,1,0
v1,535977,6,69,59,12,16756,5487,3068,503,274,123,29,10,6,4,4,5,3
v1,478807,3,28,26,8,5616,1014,0,281,71,0,0,5,4,1,0,1,0
v1,503608,9,154,128,24,39424,16256,15488,1183,1300,620,59,9,17,7,6,7,4
v1,581492,5,100,65,10,19240,5785,2730,962,405,109,29,31,12,5,3,2,2
v1,559446,1,5,5,5,1062,0,0,0,0,0,0,0,2,0,0,0,0
v2,863972,1,4,4,5,1075,0,0,0,0,0,0,0,2,0,0,0,0
v2,973412,8,207,106,15,39644,14840,13992,793,297,140,14,56,18,7,3,7,3
v1,487397,1,5,5,5,1070,0,0,0,0,0,0,0,2,0,0,0,0
v1,527804,1,4,4,5,1053,0,0,0,0,0,0,0,2,0,0,0,0
v2,875118,7,92,75,15,29250,7725,6300,585,232,189,13,23,11,4,8,5,4
v1,642753,8,179,102,16,30600,13668,11118,918,683,445,47,40,15,6,6,6,4
v1,670165,5,88,56,13,15736,3416,2408,944,171,48,25,24,9,5,1,3,2
v2,965319,1,5,5,5,1051,0,0,0,0,0,0,0,2,0,0,0,0
v1,603658,1,5,5,5,1068,0,0,0,0,0,0,0,2,0,0,0,0
v1,478807,6,66,58,14,16008,3886,3016,800,311,151,24,11,10,5,5,3,3
v1,492847,6,59,53,15,14151,3180,2915,708,254,58,22,10,7,4,6,3,3
v2,870328,3,29,28,7,6496,1400,0,325,84,0,0,5,4,1,0,1,0
v2,909790,3,34,33,7,7260,1650,0,436,99,0,0,6,4,1,0,2,0
v1,547953,9,135,122,15,41236,12810,14396,2062,897,288,55,7,12,5,6,8,4
v1,659824,7,98,86,16,32852,9718,6794,1314,680,204,34,11,12,5,4,4,3
v1,602220,8,178,91,14,28847,9828,10465,1442,688,314,45,32,15,8,5,3,4
v1,635993,3,28,25,9,5950,800,0,357,64,0,0,5,4,2,0,2,0
v1,478781,1,4,4,5,1063,0,0,0,0,0,0,0,2,0,0,0,0
v1,651259,3,29,28,9,5152,952,0,155,48,0,0,6,4,0,0,2,0
v2,909667,5,104,52,14,16120,4316,2288,161,129,69,9,35,8,5,2,4,2
v2,870563,4,45,39,10,9321,1677,3783,280,50,0,6,6,7,1,2,2,2
v1,667397,9,141,118,20,38114,15222,12036,1143,1218,241,59,12,19,4,10,7,4
v1,570614,6,62,53,15,13250,3869,3339,398,310,100,22,5,11,2,4,3,2
v1,519908,7,88,73,10,22630,8395,6570,905,588,263,30,10,8,3,5,5,3
v1,512590,3,27,25,9,5700,800,0,342,48,0,0,5,4,2,0,0,0
v1,643779,3,32,29,9,5394,1044,0,162,84,0,0,6,4,0,0,1,0
v2,888712,10,191,147,17,60123,32193,26901,301,322,188,16,41,19,8,10,3,8
v1,487982,6,62,53,11,14098,3286,2703,564,164,54,25,5,8,1,6,6,3
v2,926403,5,102,55,12,16830,5005,2640,337,150,53,7,36,7,4,2,3,2
v1,591739,3,35,32,9,7072,1184,0,283,59,0,0,6,4,2,0,0,0
v1,535977,8,178,107,13,32100,15515,12733,1926,931,255,52,42,18,5,5,6,4
v1,547546,2,17,16,7,1344,1065,0,0,0,0,0,2,2,0,0,0,0
v1,538251,3,33,31,8,6696,1519,0,402,106,0,0,6,4,0,0,0,0
v1,557716,2,16,15,5,1590,1061,0,0,0,0,0,2,2,0,0,0,0
v2,937731,1,5,5,5,1079,0,0,0,0,0,0,0,2,0,0,0,0
v1,478781,8,167,92,15,31924,13616,10304,1277,817,412,41,29,17,4,4,3,3
v2,930182,10,183,137,21,61239,27674,25619,122,277,77,22,47,27,9,15,3,9
v2,955524,8,203,106,19,42506,14946,14416,425,149,288,19,55,21,5,5,5,4
v2,960467,6,80,61,12,18361,4941,4453,367,99,45,11,31,7,6,4,6,2
v1,532723,4,32,28,9,6160,1204,2372,246,72,0,14,6,6,3,2,0,2
v1,512481,3,26,25,9,3825,1225,0,191,61,0,0,5,4,1,0,0,0
v1,471214,4,36,32,10,5888,1504,2120,177,120,0,16,6,3,1,3,2,2
v2,912279,1,4,4,5,1072,0,0,0,0,0,0,0,2,0,0,0,0
v1,695773,6,50,45,9,11970,4275,2520,718,299,101,22,9,8,5,5,5,3
v1,534542,2,15,14,6,1680,1078,0,0,0,0,0,1,2,0,0,0,0
v1,665628,6,70,62,12,15934,4402,3410,637,308,136,29,11,9,5,7,4,3
v2,981943,3,27,26,8,4654,936,0,186,75,0,0,5,4,2,0,1,0
v1,558489,6,69,62,13,18228,5518,4340,1094,331,87,29,11,12,4,4,5,2
v1,632703,5,80,45,12,11655,3330,1800,466,167,72,19,21,9,1,2,3,2
v1,607767,5,98,60,13,15540,3060,2280,466,153,46,28,27,8,3,3,3,2
v1,547306,8,165,92,21,30912,9200,10212,1855,644,306,46,29,11,6,4,5,4
v1,684169,4,35,30,9,7020,1110,1690,281,89,0,15,6,3,1,2,1,1
v1,596876,2,15,14,7,1134,1051,0,0,0,0,0,1,2,0,0,0,0
v2,957080,10,188,150,19,61950,32250,28050,248,323,196,29,41,18,12,10,4,7
v1,591739,7,87,74,16,24938,6216,4736,748,435,95,33,11,8,3,6,5,3
v2,930182,9,163,130,20,46800,18980,15990,562,380,160,25,40,16,11,9,5,7
v1,574157,1,4,4,5,1053,0,0,0,0,0,0,0,2,0,0,0,0
v2,896477,3,34,32,7,8000,960,0,480,58,0,0,5,4,2,0,1,0
v1,526904,7,87,72,13,28008,6552,5904,1680,459,177,35,9,10,6,5,3,3
v1,527328,1,5,5,5,1052,0,0,0,0,0,0,0,2,0,0,0,0
v1,632703,1,4,4,5,1064,0,0,0,0,0,0,0,2,0,0,0,0
v1,652594,5,83,46,12,12144,2668,1702,364,213,68,23,22,7,2,3,2,2
v1,499869,2,15,14,7,1204,1062,0,0,0,0,0,1,2,0,0,0,0
v1,642753,6,60,53,13,15211,3816,3180,456,267,159,24,5,8,2,5,3,3
v2,965319,5,120,59,11,20237,5192,2360,405,156,47,8,37,9,9,3,4,2
v2,968613,1,5,5,5,1050,0,0,0,0,0,0,0,2,0,0,0,0
v1,523611,2,18,17,6,1581,1052,0,0,0,0,0,2,2,0,0,0,0
v2,856206,7,86,72,18,26784,7920,5184,804,396,156,14,23,11,4,6,3,4
v1,603658,4,36,32,11,5792,1280,1768,348,90,0,16,6,10,3,2,0,2
v1,547953,10,171,149,17,59004,29502,22350,1180,1475,447,67,12,15,11,10,6,4
v1,489269,9,132,112,21,35168,14224,12768,2110,1138,511,56,8,20,6,10,8,3
v1,546123,5,81,50,13,14550,4900,2500,582,245,75,24,22,9,2,2,3,2
v2,951781,5,105,50,12,15600,4800,2450,312,96,74,8,35,9,8,3,3,2
v1,485955,2,17,17,5,1955,1059,0,0,0,0,0,2,2,0,0,0,0
v1,489269,8,182,109,12,38150,12317,11118,1908,739,445,47,43,12,7,7,5,4
v2,887263,6,79,57,15,18354,4617,4845,367,185,48,8,22,10,7,7,7,3
v1,479828,6,57,51,12,14535,4998,3264,872,400,163,20,8,10,4,5,4,3
v1,687193,1,4,4,5,1065,0,0,0,0,0,0,0,2,0,0,0,0
v2,893609,7,94,76,12,29032,7980,6080,581,239,61,14,28,11,7,8,6,4
v1,662950,5,87,56,10,16184,4760,1792,971,286,36,26,24,10,5,1,3,2
v2,955779,7,104,86,17,32336,8514,6536,970,255,65,13,26,13,6,5,5,4
v2,977882,3,33,31,8,6913,1240,0,207,87,0,0,5,4,1,0,1,0
v1,619050,6,70,62,14,16244,3658,4154,487,293,166,27,6,11,5,5,3,2
v1,581849,6,52,46,13,11592,3634,3174,348,218,159,19,5,9,2,4,5,3
v2,963332,6,75,57,12,18468,4845,4902,369,97,147,10,28,9,2,7,6,4
v2,981456,6,64,48,13,14400,3888,3984,288,156,40,6,15,9,6,6,3,4
v2,921287,8,216,110,22,44110,15840,14300,882,158,286,15,58,18,11,4,7,3
v1,530358,5,81,50,13,14000,4800,2300,840,384,92,20,23,7,6,2,2,2
v1,510856,2,18,17,7,1462,1071,0,0,0,0,0,2,2,0,0,0,0
v2,909790,6,75,55,11,17270,4895,4180,345,98,84,6,25,6,6,4,4,3
v2,898671,3,27,25,7,4900,850,0,294,51,0,0,6,4,1,0,1,0
v1,689372,1,5,5,5,1065,0,0,0,0,0,0,0,2,0,0,0,0
v2,897335,4,45,38,13,6194,2280,2622,248,91,0,7,7,6,2,3,0,2
v2,858481,2,17,16,6,1664,1088,0,0,0,0,0,2,2,0,0,0,0
v1,645472,7,83,70,10,25130,6230,7000,1257,498,280,32,8,7,7,7,4,3
v1,534785,1,4,4,5,1052,0,0,0,0,0,0,0,2,0,0,0,0
v1,531636,6,67,57,14,16359,4389,3078,491,263,92,25,7,9,5,4,5,3
v1,563601,9,140,120,23,40920,13560,13320,2455,678,400,56,10,17,8,7,5,4
v2,969780,5,107,57,12,19209,4959,2850,192,99,86,7,38,8,9,3,3,2
v2,938368,2,18,17,7,1445,1224,0,0,0,0,0,2,2,0,0,0,0
v1,538251,4,40,35,11,6090,1400,2575,305,70,0,18,7,11,3,2,1,2
v1,477200,6,65,56,15,15456,4536,2856,773,363,143,23,7,7,5,5,6,3
v1,513596,3,25,24,7,5832,888,0,292,62,0,0,5,4,1,0,1,0
v2,898599,3,34,32,9,4832,1408,0,290,113,0,0,6,4,1,0,2,0
v1,595585,2,15,14,6,1666,1066,0,0,0,0,0,1,2,0,0,0,0
v2,904110,3,30,28,7,6636,1344,0,332,67,0,0,5,4,0,0,1,0
v1,570614,2,18,17,7,1496,1072,0,0,0,0,0,2,2,0,0,0,0
v1,688428,2,15,15,6,1485,1079,0,0,0,0,0,2,2,0,0,0,0
v1,641774,7,84,74,16,28860,6586,4070,1154,329,122,33,11,15,4,6,4,4
v1,538554,3,27,25,7,5825,1000,0,291,50,0,0,5,4,2,0,1,0
v1,687158,4,36,32,10,5856,1184,2600,293,59,0,16,6,3,2,3,0,2
v2,897445,1,4,4,5,1057,0,0,0,0,0,0,0,2,0,0,0,0
v1,597333,3,34,32,7,7552,1280,0,453,64,0,0,6,4,2,0,1,0
v1,574157,2,15,15,6,1410,1075,0,0,0,0,0,2,2,0,0,0,0
v2,858481,8,207,97,21,36569,14938,13386,731,149,268,15,57,19,10,5,4,4
v2,927502,10,192,150,21,66000,32700,27750,264,327,139,21,47,27,13,13,4,8
v1,636425,1,4,4,5,1061,0,0,0,0,0,0,0,2,0,0,0,0
v1,583944,3,26,24,8,3888,1056,0,156,74,0,0,5,4,0,0,1,0
v1,568314,4,33,28,9,5824,1316,1588,175,66,0,14,6,6,3,2,1,2
v1,558444,6,61,52,10,14560,5148,2756,728,257,138,23,7,7,3,5,3,3
v1,492198,9,143,120,14,37320,16920,14880,1120,1184,595,55,12,12,7,6,4,4
v1,645472,8,188,100,16,31500,11200,10300,945,784,309,46,35,13,4,4,6,3
v2,898671,7,104,84,16,29652,8568,6552,593,343,131,12,27,13,3,7,6,4
v2,964862,3,25,24,9,5904,1152,0,177,92,0,0,5,4,3,0,0,0
v1,665628,7,80,70,10,23730,8400,5530,1424,420,166,33,8,11,2,4,6,3
v2,979926,5,109,57,12,17784,5301,2736,356,212,27,7,36,10,6,2,4,2
v1,583944,2,15,14,6,1498,1056,0,0,0,0,0,1,2,0,0,0,0
v2,981456,10,189,147,23,64680,26901,27636,388,269,83,29,40,25,13,10,2,8
v1,593667,5,93,59,10,15989,3304,2655,959,264,106,25,27,11,3,2,2,2
v2,855634,1,5,5,5,1077,0,0,0,0,0,0,0,2,0,0,0,0
v2,973279,7,99,82,18,30504,7872,6314,915,236,63,12,28,13,5,5,4,3
v2,898671,4,43,37,11,6586,1554,3293,263,62,0,7,6,5,3,2,0,2
v1,531904,3,29,26,7,5408,1092,0,270,66,0,0,5,4,0,0,1,0
v2,907114,9,154,129,16,47472,19866,15867,475,596,317,18,39,21,5,10,3,7
v1,482258,6,50,42,10,11550,3192,2184,578,160,109,19,5,8,4,6,6,3
v2,965319,4,40,34,11,7378,1802,2788,221,54,0,6,7,9,2,3,0,2
v2,959790,9,158,128,22,45056,19200,16512,270,576,330,24,49,19,6,11,3,7
v2,984110,6,63,45,18,14400,3915,4050,144,157,122,6,14,5,3,4,6,3
v2,969461,6,77,58,18,20068,4988,4524,201,100,45,6,20,6,4,7,7,3
v1,499497,3,26,24,7,4296,936,0,129,47,0,0,5,4,0,0,1,0
v2,949337,1,4,4,5,1054,0,0,0,0,0,0,0,2,0,0,0,0
v2,880217,3,26,25,7,5725,1000,0,229,60,0,0,6,4,1,0,1,0
v2,974674,7,94,77,18,28105,8162,5698,843,408,171,8,29,10,2,6,3,3
v1,534542,9,144,120,20,39240,18000,15240,1962,1080,610,59,6,12,6,9,6,4
v1,499869,8,166,100,16,30400,11100,10300,1520,666,206,50,36,19,8,6,6,4
v2,896477,5,108,59,12,19883,5310,2950,398,159,30,6,41,9,3,2,3,2
v2,903199,6,72,54,14,18468,4698,4590,369,94,138,8,23,6,2,7,4,4
v2,869434,5,125,65,15,19500,5850,2795,195,234,56,11,44,7,10,2,4,2
v1,679810,10,180,162,17,63180,30942,25110,1264,1547,753,65,10,29,7,9,4,4
v2,987612,7,90,76,12,28956,7600,5776,579,380,58,11,27,9,2,8,3,3
v2,857948,2,17,16,6,1920,928,0,0,0,0,0,1,2,0,0,0,0
v2,969780,8,190,87,24,36540,12789,12093,365,128,242,12,44,12,11,5,5,3
v2,854259,9,154,123,16,46002,17466,15252,460,349,305,15,38,17,5,10,3,5
v2,937827,3,31,29,7,4959,957,0,248,57,0,0,5,4,3,0,1,0
v2,870161,1,5,5,5,1063,0,0,0,0,0,0,0,2,0,0,0,0
v1,666325,3,32,30,7,6120,1200,0,306,60,0,0,6,4,2,0,2,0
v1,558079,7,92,76,17,28728,7828,6156,1724,548,246,37,9,8,5,5,4,3
v2,903710,1,5,5,5,1057,0,0,0,0,0,0,0,2,0,0,0,0
v2,972455,3,30,29,8,6554,1247,0,393,87,0,0,5,4,2,0,1,0
v2,959710,1,4,4,5,1053,0,0,0,0,0,0,0,2,0,0,0,0
v1,558444,2,18,17,6,1751,1072,0,0,0,0,0,2,2,0,0,0,0
v1,638598,8,165,87,21,28797,10179,10005,1152,611,200,39,33,16,4,7,5,4
v2,906510,6,72,54,12,18792,4860,4320,376,97,43,6,21,10,6,7,4,4
v2,930563,6,63,47,15,14476,4042,3948,145,162,118,7,19,7,3,4,5,3
v1,678651,10,187,159,23,63600,24645,24804,1272,1232,744,65,16,19,9,12,6,5
v1,522033,7,96,86,17,29670,8686,5590,1484,608,224,38,9,11,5,4,6,3
v2,906510,8,195,99,25,36630,13959,13662,366,279,137,15,58,18,11,4,6,4
v1,526904,5,95,55,10,15180,4400,1705,455,308,34,28,26,9,6,3,2,2
v1,531636,2,15,14,6,1204,1055,0,0,0,0,0,1,2,0,0,0,0
v1,543350,8,183,93,17,30225,10788,9300,907,755,372,47,31,13,5,6,4,4
v1,596238,1,5,5,5,1069,0,0,0,0,0,0,0,2,0,0,0,0
v1,685224,4,40,36,9,6336,1260,2800,253,63,0,18,7,4,0,3,0,2
v2,854648,2,15,14,6,1302,812,0,0,0,0,0,1,2,0,0,0,0
v1,547031,4,39,35,10,7560,1680,1805,302,84,0,18,7,11,3,2,1,2
v1,600309,6,51,43,12,11352,3182,2838,454,255,142,20,6,6,2,6,6,2
v1,485789,1,5,5,5,1064,0,0,0,0,0,0,0,2,0,0,0,0
v1,613525,1,5,5,5,1055,0,0,0,0,0,0,0,2,0,0,0,0
v1,570614,5,89,55,9,15785,3575,2035,789,215,41,23,25,9,2,1,2,2
v1,619050,4,32,28,9,4592,1372,1728,138,110,0,14,6,6,1,3,1,2
v1,513782,4,38,33,11,5940,990,1660,297,69,0,17,7,7,2,2,2,1
v2,957240,10,180,140,28,56700,26600,25060,340,266,175,21,46,21,12,14,3,8
v1,548249,10,181,163,19,63244,27710,28362,1897,831,851,68,10,31,9,12,8,5
v2,927502,9,158,130,20,46020,18980,17680,460,569,177,16,40,25,6,8,7,6
v1,655160,9,151,136,22,43792,13872,17272,2628,1110,691,57,7,24,2,10,7,3
v2,934703,5,125,59,12,19883,5074,2537,398,203,76,7,39,8,8,2,4,2
v2,903340,4,35,29,13,5684,1479,1537,171,44,0,5,8,9,0,3,2,3
v1,515470,2,17,16,7,1664,1058,0,0,0,0,0,2,2,0,0,0,0
v1,654310,1,4,4,5,1061,0,0,0,0,0,0,0,2,0,0,0,0
v2,959485,8,200,90,18,36180,15300,12240,362,306,122,16,50,9,8,4,5,3
v1,663026,6,53,47,9,12643,3901,3008,759,234,90,24,8,8,3,5,5,3
v1,607742,9,152,129,22,42312,15738,13674,2539,787,273,58,10,22,7,8,7,3
v1,571200,4,40,35,9,8330,1400,2190,500,84,0,18,7,7,3,2,0,2
v1,651954,10,187,163,23,57213,27058,25102,1144,1082,502,72,10,33,9,11,8,5
v1,647069,4,31,28,9,4956,1092,1812,198,87,0,14,6,8,1,2,1,1
v1,503608,3,26,24,8,4344,744,0,261,52,0,0,5,4,0,0,1,0
v2,872424,6,67,51,17,16524,4437,4284,330,89,43,9,23,9,7,7,6,4
v1,507057,4,32,28,9,6580,1008,1784,329,81,0,14,6,6,2,3,1,2
v2,906514,6,76,55,18,16500,4895,4510,330,196,45,9,25,10,5,5,4,3
v1,642753,7,85,76,18,30020,8816,6992,1801,529,280,32,10,12,7,7,4,4
v1,677502,7,86,71,15,23785,5751,4757,951,403,95,36,8,13,1,4,5,2
v1,594870,4,32,28,9,5880,1344,1924,353,94,0,14,6,3,3,2,1,2
v1,626763,3,33,30,7,6300,1470,0,189,103,0,0,6,4,2,0,0,0
v1,504896,2,17,16,5,1776,1051,0,0,0,0,0,2,2,0,0,0,0
v2,885093,8,219,107,20,43549,16264,14659,871,325,293,14,56,16,7,3,4,3
v1,477716,10,195,174,22,64902,28536,27318,1298,856,820,71,9,30,7,8,6,4
v2,887263,5,119,62,15,19344,5828,2790,580,175,28,9,40,12,4,2,3,2
v1,651436,5,91,50,9,12500,3250,1800,375,195,36,25,25,10,4,1,3,2
v2,954230,6,60,43,14,12986,3440,3311,130,138,66,6,21,5,7,4,7,3
v2,863815,9,163,130,16,46670,19240,15600,233,577,312,20,40,13,3,7,6,5
v2,859184,6,67,50,12,15400,4100,3550,308,82,107,7,20,10,2,6,7,3
v1,547306,5,95,59,10,17287,5074,1770,1037,254,53,25,26,10,4,1,2,2
v2,973412,4,44,37,13,6623,1517,2997,199,61,0,6,7,8,0,2,1,2
v1,614410,4,32,28,11,6720,1036,2232,336,62,0,14,6,3,3,3,1,2
v1,684169,1,4,4,5,1053,0,0,0,0,0,0,0,2,0,0,0,0
v1,681497,2,16,15,7,1440,1072,0,0,0,0,0,2,2,0,0,0,0
v2,947202,1,5,5,5,1077,0,0,0,0,0,0,0,2,0,0,0,0
v1,610022,3,30,27,9,6183,972,0,371,78,0,0,5,4,1,0,0,0
v2,931609,7,105,87,14,30450,8874,6525,609,355,65,17,31,17,7,6,3,4
v1,629251,2,17,16,7,1568,1060,0,0,0,0,0,2,2,0,0,0,0
v1,647069,2,17,16,7,1712,1058,0,0,0,0,0,2,2,0,0,0,0
v2,964676,5,122,61,12,19642,5795,2928,196,116,88,10,43,10,4,3,3,2
v1,522033,5,96,55,13,16170,3520,2750,485,176,83,25,25,11,4,3,3,2
v2,902284,10,210,166,21,68226,30710,31042,409,614,279,17,43,32,14,13,2,9
v1,693483,6,50,45,11,12285,2250,2970,737,180,89,19,6,8,4,7,3,3
v1,473325,2,16,15,6,1620,1059,0,0,0,0,0,2,2,0,0,0,0
v2,902366,2,18,17,6,1972,1343,0,0,0,0,0,2,2,0,0,0,0
